<article id="GID_1941_96" name="J.H. Scholte" birth-date="1874" birth-place="NA" death-date="1959" death-place="NA">
<sentence id="1">
Simplicius_simplicissimus_De_Dertigjarige_Oorlog	Simplicius_simplicissimus_De_Dertigjarige_Oorlog	SPEC(deeleigen)_SPEC(deeleigen)_SPEC(deeleigen)_SPEC(deeleigen)_SPEC(deeleigen)	1.0
de	de	LID(bep,stan,rest)	0.999273
hoeve	hoeve	N(soort,ev,basis,zijd,stan)	0.99925
door	door	VZ(init)	0.990826
een	een	LID(onbep,stan,agr)	0.999038
troep	troep	N(soort,ev,basis,zijd,stan)	0.997691
kurassiers	kurassier	N(soort,mv,basis)	1.0
overvallen	overval	N(soort,mv,basis)	0.571429
en	en	VG(neven)	0.999194
geplunderd	geplunderd	N(soort,mv,basis)	0.5
.	.	LET()	1.0
</sentence>
<sentence id="17">
Ze	ze	VNW(pers,pron,stan,red,3,mv)	0.514499
martelden	martelen	WW(pv,verl,mv)	1.0
den	de	LID(bep,dial)	0.986473
boer	boer	N(soort,ev,basis,zijd,stan)	0.998248
en	en	VG(neven)	0.999194
dwongen	dwingen	WW(pv,verl,mv)	0.998744
hem	hem	VNW(pers,pron,obl,vol,3,ev,masc)	0.980303
,	,	LET()	1.0
alles	alles	VNW(onbep,pron,stan,vol,3o,ev)	0.99984
wat	wat	VNW(vb,pron,stan,vol,3o,ev)	1.0
waarde	waarde	N(soort,ev,basis,zijd,stan)	0.998428
had	hebben	WW(pv,verl,ev)	0.999771
,	,	LET()	1.0
over	over	VZ(fin)	1.0
te	te	VZ(init)	0.999976
geven	geven	WW(inf,vrij,zonder)	0.974576
,	,	LET()	1.0
ze	ze	VNW(pers,pron,stan,red,3,mv)	0.670897
schoffeerden	schofferen	WW(pv,verl,mv)	0.777778
de	de	LID(bep,stan,rest)	0.999852
vrouwen	vrouw	N(soort,mv,basis)	0.997993
en	en	VG(neven)	0.999194
dreven	drijven	WW(pv,verl,mv)	0.828778
het	het	LID(bep,stan,evon)	0.989011
vee	vee	N(soort,ev,basis,onz,stan)	0.997977
met	met	VZ(init)	0.99948
zich	zich	VNW(refl,pron,obl,red,3,getal)	0.99974
mee	mee	VZ(fin)	0.999719
.	.	LET()	1.0
</sentence>
<sentence id="18">
In	in	VZ(init)	0.997052
het	het	LID(bep,stan,evon)	0.999914
tumult	tumult	N(soort,ev,basis,onz,stan)	0.996804
gelukte	gelukken	WW(pv,verl,ev)	0.833333
het	het	VNW(pers,pron,stan,red,3,ev,onz)	0.666667
den	de	LID(bep,dial)	0.986473
knaap	knaap	N(soort,ev,basis,zijd,stan)	0.999633
,	,	LET()	1.0
onbemerkt	onbemerkt	WW(vd,vrij,zonder)	0.555556
te	te	VZ(init)	0.907459
ontkomen	ontkomen	WW(inf,vrij,zonder)	0.966102
om	om	VZ(init)	0.965744
in	in	VZ(init)	0.99935
de	de	LID(bep,stan,rest)	0.999852
bossen	bos	N(soort,mv,basis)	0.999317
een	een	LID(onbep,stan,agr)	0.998771
goed	goed	ADJ(prenom,basis,zonder)	1.0
heenkomen	heenkomen	N(soort,ev,basis,onz,stan)	0.842105
te	te	VZ(init)	0.999179
zoeken	zoeken	WW(inf,vrij,zonder)	0.961271
.	.	LET()	1.0
</sentence>
<sentence id="19">
Toen	toen	VG(onder)	0.977778
het	het	VNW(pers,pron,stan,red,3,ev,onz)	0.935484
echter	echter	BW()	0.997988
avond	avond	N(soort,ev,basis,zijd,stan)	0.998935
werd	worden	WW(pv,verl,ev)	0.999799
en	en	VG(neven)	0.999727
de	de	LID(bep,stan,rest)	0.999852
bomen	boom	N(soort,mv,basis)	0.997788
spookachtige	spookachtig	ADJ(prenom,basis,met-e,stan)	0.99979
gedaanten	gedaante	N(soort,mv,basis)	0.99802
begonnen	beginnen	WW(vd,vrij,zonder)	0.946429
aan	aan	VZ(fin)	0.853886
te	te	VZ(init)	0.999976
nemen	nemen	WW(inf,vrij,zonder)	0.972222
,	,	LET()	1.0
ontwaakte	ontwaken	WW(pv,verl,ev)	0.761146
zijn	zijn	VNW(bez,det,stan,vol,3,ev,prenom,zonder,agr)	0.983974
angst	angst	N(soort,ev,basis,zijd,stan)	0.998115
opnieuw	opnieuw	BW()	0.996315
.	.	LET()	1.0
</sentence>
<sentence id="20">
Hij	hij	VNW(pers,pron,nomin,vol,3,ev,masc)	0.999431
vluchtte	vluchten	WW(pv,verl,ev)	0.996536
op	op	VZ(init)	0.951327
goed	goed	ADJ(prenom,basis,zonder)	0.970588
geluk	geluk	N(soort,ev,basis,onz,stan)	0.996229
steeds	steeds	BW()	0.998251
dieper	diep	ADJ(vrij,comp,zonder)	0.966667
het	het	LID(bep,stan,evon)	0.988139
bos	bos	N(soort,ev,basis,onz,stan)	0.9375
in	in	VZ(fin)	0.868852
en	en	VG(neven)	0.999801
durfde	durven	WW(pv,verl,ev)	0.997655
zich	zich	VNW(refl,pron,obl,red,3,getal)	0.99974
nergens	nergens	VNW(onbep,adv-pron,obl,vol,3o,getal)	0.998609
te	te	VZ(init)	0.907459
ruste	rust	N(soort,ev,basis,dat)	0.99762
leggen	leggen	WW(inf,vrij,zonder)	0.856013
,	,	LET()	1.0
tot	tot	VZ(init)	0.998379
hij	hij	VNW(pers,pron,nomin,vol,3,ev,masc)	0.999659
,	,	LET()	1.0
doodmoe	doodmoe	ADJ(vrij,basis,zonder)	0.998464
,	,	LET()	1.0
aan	aan	VZ(init)	0.984083
een	een	LID(onbep,stan,agr)	0.998054
hut	hut	N(soort,ev,basis,zijd,stan)	0.998211
kwam	komen	WW(pv,verl,ev)	0.999622
,	,	LET()	1.0
waaruit	waaruit	BW()	0.998419
de	de	LID(bep,stan,rest)	0.981886
geruststellende	geruststellen	WW(od,prenom,met-e)	0.992714
tonen	tonen	WW(inf,vrij,zonder)	0.45122
van	van	VZ(init)	0.999441
een	een	LID(onbep,stan,agr)	0.999386
vroom	vroom	ADJ(prenom,basis,zonder)	0.978684
gezang	gezang	N(soort,ev,basis,onz,stan)	0.998069
zijn	zijn	VNW(bez,det,stan,vol,3,ev,prenom,zonder,agr)	0.941176
oor	oor	N(soort,ev,basis,onz,stan)	0.996727
troffen	treffen	WW(pv,verl,mv)	0.999559
.	.	LET()	1.0
</sentence>
<sentence id="21">
Hij	hij	VNW(pers,pron,nomin,vol,3,ev,masc)	0.999431
waagde	wagen	WW(pv,verl,ev)	0.997655
zich	zich	VNW(refl,pron,obl,red,3,getal)	0.99974
naderbij	naderbij	ADJ(vrij,basis,zonder)	0.84058
en	en	VG(neven)	0.999801
zag	zien	WW(pv,verl,ev)	0.998897
een	een	LID(onbep,stan,agr)	0.995147
groten	groot	ADJ(dial)	0.9375
man	man	N(soort,ev,basis,zijd,stan)	0.997938
met	met	VZ(init)	0.999496
zware	zwaar	ADJ(prenom,basis,met-e,stan)	0.99951
baard	baard	N(soort,ev,basis,zijd,stan)	0.998248
en	en	VG(neven)	0.999194
verwarde	verward	ADJ(prenom,basis,met-e,stan)	0.435583
haren	haar	N(soort,mv,basis)	0.980769
,	,	LET()	1.0
gekleed	kleden	WW(vd,vrij,zonder)	0.997251
in	in	VZ(init)	0.99879
een	een	LID(onbep,stan,agr)	0.995147
haveloze	haveloos	ADJ(prenom,basis,met-e,stan)	0.999828
pij	pij	N(soort,ev,basis,zijd,stan)	0.999705
.	.	LET()	1.0
</sentence>
<sentence id="22">
De	de	LID(bep,stan,rest)	0.999701
aanblik	aanblik	N(soort,ev,basis,zijd,stan)	0.999049
was	zijn	WW(pv,verl,ev)	0.99656
weinig	weinig	VNW(onbep,grad,stan,vrij,zonder,basis)	0.986111
in_staat	in_staat	VZ(init)_N(soort,ev,basis,zijd,stan)	0.932384
hem	hem	VNW(pers,pron,obl,vol,3,ev,masc)	0.987342
gerust	gerust	ADJ(vrij,basis,zonder)	0.995289
te	te	VZ(init)	0.999928
stellen	stellen	WW(inf,vrij,zonder)	0.990385
en	en	VG(neven)	0.999888
ook	ook	BW()	0.999979
de	de	LID(bep,stan,rest)	0.999852
woorden	woord	N(soort,mv,basis)	0.999668
van	van	VZ(init)	0.779104
den	de	LID(bep,dial)	0.954545
